zipcode,year,risk_level,accident_frequency
90069,2017,0,115
90069,2018,1,124
90069,2019,1,129
90069,2020,0,97
90069,2021,0,43
90069,2022,0,48
90071,2010,1,225
90071,2011,2,272
90071,2012,1,238
90071,2013,1,237
90071,2014,1,238
90071,2015,2,269
90071,2016,2,309
90071,2017,2,348
90071,2018,2,366
90071,2019,2,341
90071,2020,2,247
90071,2021,1,138
90071,2022,1,136
90077,2010,0,67
90077,2011,0,69
90077,2012,0,95
90077,2013,0,76
90077,2014,0,71
90077,2015,0,68
90077,2016,0,72
90077,2017,0,72
90077,2018,0,79
90077,2019,0,88
90077,2020,0,67
90077,2021,0,31
90077,2022,0,31
90079,2010,2,248
90079,2011,1,239
90079,2012,2,280
90079,2013,2,285
90079,2014,2,253
90079,2015,2,301
90079,2016,2,333
90079,2017,2,301
90079,2018,2,343
90079,2019,2,380
90079,2020,2,298
90079,2021,1,132
90079,2022,1,129
90094,2010,1,217
90094,2011,1,212
90094,2012,1,201
90094,2013,1,198
90094,2014,1,184
90094,2015,1,229
90094,2016,2,255
90094,2017,2,246
90094,2018,2,284
90094,2019,2,304
90094,2020,1,193
90094,2021,0,78
90094,2022,0,92
90101,2010,0,0
90101,2011,0,1
90101,2012,0,0
90101,2013,0,1
90101,2014,0,0
90101,2015,0,0
90101,2016,0,0
90101,2017,0,0
90101,2018,0,0
90101,2019,0,0
90101,2020,0,0
90101,2021,0,0
90101,2022,0,0
90210,2010,0,21
90210,2011,0,25
90210,2012,0,31
90210,2013,0,30
90210,2014,0,28
90210,2015,0,31
90210,2016,0,35
90210,2017,0,35
90210,2018,0,34
90210,2019,0,41
90210,2020,0,22
90210,2021,0,11
90210,2022,0,11
90211,2010,1,127
90211,2011,1,146
90211,2012,1,151
90211,2013,1,125
90211,2014,1,144
90211,2015,0,114
90211,2016,1,168
90211,2017,1,161
90211,2018,1,148
90211,2019,1,155
90211,2020,0,85
90211,2021,0,35
90211,2022,0,33
90212,2010,0,50
90212,2011,0,51
90212,2012,0,61
90212,2013,0,61
90212,2014,0,61
90212,2015,0,67
90212,2016,0,55
90212,2017,0,74
90212,2018,0,59
90212,2019,0,57
90212,2020,0,38
90212,2021,0,11
90212,2022,0,15
90222,2010,0,0
90222,2011,0,0
90222,2012,0,0
90222,2013,0,1
90222,2014,0,0
90222,2015,0,0
90222,2016,0,0
90222,2017,0,0
90222,2018,0,0
90222,2019,0,0
90222,2020,0,0
90222,2021,0,0
90222,2022,0,0
90230,2010,0,74
90230,2011,0,47
90230,2012,0,51
90230,2013,0,62
90230,2014,0,68
90230,2015,0,68
90230,2016,0,100
90230,2017,0,86
90230,2018,0,88
90230,2019,0,94
90230,2020,0,48
90230,2021,0,16
90230,2022,0,21
90232,2010,1,121
90232,2011,1,137
90232,2012,0,110
90232,2013,1,134
90232,2014,1,124
90232,2015,0,112
90232,2016,1,122
90232,2017,0,115
90232,2018,1,125
90232,2019,0,113
90232,2020,0,83
90232,2021,0,40
90232,2022,0,37
90240,2010,0,0
90240,2011,0,3
90240,2012,0,2
90240,2013,0,1
90240,2014,0,3
90240,2015,0,0
90240,2016,0,0
90240,2017,0,0
90240,2018,0,0
90240,2019,0,0
90240,2020,0,0
90240,2021,0,0
90240,2022,0,0
90241,2010,0,5
90241,2011,0,0
90241,2012,0,5
90241,2013,0,1
90241,2014,0,2
90241,2015,0,0
90241,2016,0,0
90241,2017,0,0
90241,2018,0,0
90241,2019,0,0
90241,2020,0,0
90241,2021,0,0
90241,2022,0,0
90242,2010,0,0
90242,2011,0,1
90242,2012,0,0
90242,2013,0,0
90242,2014,0,0
90242,2015,0,0
90242,2016,0,0
90242,2017,0,0
90242,2018,0,0
90242,2019,0,0
90242,2020,0,0
90242,2021,0,0
90242,2022,0,0
90245,2010,0,3
90245,2011,0,6
90245,2012,0,2
90245,2013,0,3
90245,2014,0,4
90245,2015,0,3
90245,2016,0,4
90245,2017,0,3
90245,2018,0,4
90245,2019,0,1
90245,2020,0,2
90245,2021,0,3
90245,2022,0,0
90247,2010,0,64
90247,2011,0,67
90247,2012,0,89
90247,2013,0,84
90247,2014,0,85
90247,2015,0,82
90247,2016,0,89
90247,2017,0,87
90247,2018,0,97
90247,2019,0,102
90247,2020,0,100
90247,2021,0,49
90247,2022,0,38
90248,2010,0,54
90248,2011,0,61
90248,2012,0,53
90248,2013,0,51
90248,2014,0,73
90248,2015,0,66
90248,2016,0,80
90248,2017,0,88
90248,2018,0,62
90248,2019,0,101
90248,2020,0,60
90248,2021,0,36
90248,2022,0,23
90249,2010,0,1
90249,2011,0,0
90249,2012,0,0
90249,2013,0,0
90249,2014,0,0
90249,2015,0,0
90249,2016,0,0
90249,2017,0,0
90249,2018,0,0
90249,2019,0,0
90249,2020,0,0
90249,2021,0,0
90249,2022,0,0
90254,2010,0,3
90254,2011,0,2
90254,2012,0,2
90254,2013,0,6
90254,2014,0,2
90254,2015,0,0
90254,2016,0,0
90254,2017,0,0
90254,2018,0,0
90254,2019,0,0
90254,2020,0,0
90254,2021,0,0
90254,2022,0,0
90255,2010,0,1
90255,2011,0,0
90255,2012,0,0
90255,2013,0,0
90255,2014,0,0
90255,2015,0,0
90255,2016,0,0
90255,2017,0,0
90255,2018,0,0
90255,2019,0,0
90255,2020,0,0
90255,2021,0,0
90255,2022,0,0
90261,2010,0,0
90261,2011,0,0
90261,2012,0,2
90261,2013,0,1
90261,2014,0,0
90261,2015,0,0
90261,2016,0,0
90261,2017,0,0
90261,2018,0,0
90261,2019,0,0
90261,2020,0,0
90261,2021,0,0
90261,2022,0,0
90266,2010,0,5
90266,2011,0,4
90266,2012,0,3
90266,2013,0,7
90266,2014,0,4
90266,2015,0,0
90266,2016,0,0
90266,2017,0,0
90266,2018,0,0
90266,2019,0,0
90266,2020,0,1
90266,2021,0,0
90266,2022,0,0
90272,2010,0,86
90272,2011,0,89
90272,2012,1,125
90272,2013,0,117
90272,2014,0,94
90272,2015,0,95
90272,2016,1,124
90272,2017,0,103
90272,2018,0,117
90272,2019,1,125
90272,2020,0,116
90272,2021,0,39
90272,2022,0,44
90275,2010,1,128
90275,2011,0,120
90275,2012,0,118
90275,2013,1,149
90275,2014,1,148
90275,2015,1,192
90275,2016,1,193
90275,2017,1,165
90275,2018,1,127
90275,2019,1,171
90275,2020,1,162
90275,2021,0,57
90275,2022,0,48
90277,2010,0,0
90277,2011,0,1
90277,2012,0,0
90277,2013,0,0
90277,2014,0,0
90277,2015,0,0
90277,2016,0,0
90277,2017,0,0
90277,2018,0,0
90277,2019,0,0
90277,2020,0,0
90277,2021,0,0
90277,2022,0,0
90290,2010,0,2
90290,2011,0,4
90290,2012,0,5
90290,2013,0,3
90290,2014,0,2
90290,2015,0,6
90290,2016,0,9
90290,2017,0,2
90290,2018,0,4
90290,2019,0,2
90290,2020,0,4
90290,2021,0,3
90290,2022,0,1
90291,2010,2,332
90291,2011,2,336
90291,2012,2,399
90291,2013,2,341
90291,2014,2,370
90291,2015,2,408
